Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
140.205.218.52-10.42.0.211-80-57588-6,28,2,01-11-22 16:27,60,Male,Employee,Above 10yr,Other,Other,Y Shape,Vehicle with vehicle collision,1,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.67754626,-72.93867968,1
10.42.0.211-10.42.0.1-47295-53-17,31,3.9,01-11-22 16:28,50,Male,Employee,2-5yr,Lorry (41?100Q),Residential areas,No junction,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight Injury,No,No,41.67469226,-72.9029499,1
10.42.0.42-59.38.112.48-45881-443-6,30,2.6,01-11-22 16:34,45,Female,Employee,2-5yr,Pick up upto 10Q,Other,Other,Vehicle with vehicle collision,3,1,Other,Changing lane to the left,Slight Injury,Yes,Yes,41.66209234,-72.78060172,0
10.42.0.211-103.235.46.212-57718-80-6,35,2.7,01-11-22 16:37,50,Male,Employee,2-5yr,Other,Other,Other,Vehicle with vehicle collision,3,1,Other,Changing lane to the left,Slight Injury,No,No,41.63453238,-72.77134222,1
10.42.0.42-13.32.250.220-47489-443-6,,2.3,01-11-22 16:47,75,Male,Employee,2-5yr,Lorry (41?100Q), Church areas,Other,Collision with roadside objects,3,1,Going straight,Overtaking,Slight Injury,Yes,Yes,41.59586706,-72.88204284,0
183.79.248.124-10.42.0.42-443-46684-6,,2.6,01-11-22 16:57,60,Male,Employee,2-5yr,Ridden horse,Office areas,No junction,Vehicle with vehicle collision,2,1,Reversing,No distancing,Slight Injury,Yes,Yes,41.80089957,-72.74769958,0
10.42.0.151-31.13.80.5-44865-443-6,32,3.5,01-11-22 16:58,20,Male,Employee,2-5yr,Automobile,School areas,No junction,Vehicle with vehicle collision,2,1,Other,No priority to vehicle,Slight Injury,Yes,Yes,41.81154383,-72.79789362,0
10.42.0.211-10.42.0.1-2811-53-17,,2.8,01-11-22 16:59,45,Male,Employee,5-10yr,Automobile,Other,No junction,Vehicle with vehicle collision,4,1,Turnover,Changing lane to the right,Slight Injury,No,No,41.82673558,-72.74323548,1
10.42.0.151-52.9.83.130-37158-443-6,23,2.6,01-11-22 17:03,60,Male,Employee,2-5yr,Stationwagen,Office areas,No junction,Vehicle with vehicle collision,4,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.85110438,-72.83360851,0
10.42.0.151-10.42.0.1-61064-53-17,17,5.2,01-11-22 17:04,45,Male,Employee,Above 10yr,Other,Residential areas,No junction,Vehicle with vehicle collision,4,1,Going straight,No distancing,Slight Injury,No,No,41.78618305,-72.52587322,1
8.41.222.241-10.42.0.151-443-59907-6,26,4.8,01-11-22 17:06,25,Male,Employee,Above 10yr,Lorry (41?100Q), Industrial areas,No junction,Vehicle with vehicle collision,4,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,41.83919501,-72.66247062,0
10.42.0.42-115.239.210.141-57180-80-6,22,2.5,01-11-22 17:07,25,Male,Employee,Above 10yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.85781193,-72.63520707,1
10.42.0.211-104.97.95.172-45765-80-6,27,1.6,01-11-22 17:08,30,Male,Employee,5-10yr,Long lorry,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,29.78845692,-95.34157106,0
10.42.0.211-10.42.0.1-56373-53-17,24,8,01-11-22 17:13,45,Male,Owner,2-5yr,Stationwagen,  Recreational areas,No junction,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Slight Injury,No,No,32.71466356,-100.9177608,1
10.42.0.211-66.102.255.40-51277-443-6,26,6.4,01-11-22 17:14,40,Male,Employee,1-2yr,Public (12 seats),Office areas,No junction,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,No,No,41.22274555,-73.06522089,1
10.42.0.151-10.42.0.1-36176-53-17,26.1,2.5,01-11-22 17:17,40,Male,Employee,2-5yr,Automobile, Outside rural areas,Crossing,Vehicle with vehicle collision,3,1,Going straight,No distancing,Slight Injury,Yes,Yes,41.60056758,-72.66524893,0
172.217.10.228-10.42.0.151-443-44315-6,26.3,3.4,01-11-22 17:19,45,Male,Employee,5-10yr,Public (12 seats), Outside rural areas,Crossing,Collision with roadside objects,3,1,Going straight,No distancing,Slight Injury,No,No,41.34928822,-73.07961008,1
172.217.10.238-10.42.0.211-80-59344-6,26.4,4.6,01-11-22 17:23,40,Male,Owner,1-3yr,Lorry (41?100Q), Outside rural areas,Crossing,Collision with roadside objects,3,1,Other,Changing lane to the left,Slight Injury,Yes,Yes,41.47138331,-72.88129834,0
172.217.12.170-10.42.0.151-443-47029-6,24,2.3,01-11-22 17:23,50,Male,Owner,5-10yr,Automobile, Outside rural areas,No junction,Collision with roadside objects,1,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,41.32821906,-72.92090237,0
10.42.0.211-10.42.0.1-27320-53-17,25.8,2.4,01-11-22 17:27,65,Male,Other,Above 10yr,Lorry (41?100Q), Outside rural areas,Unknown,Collision with pedestrians,2,1,Going straight,Moving Backward,Slight Injury,No,No,41.21392475,-73.07455891,1
10.42.0.211-64.71.142.120-37154-443-6,25.8,2.2,01-11-22 17:28,50,Male,Employee,Above 10yr,Lorry (41?100Q),School areas,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the right,Slight Injury,No,No,41.33516285,-72.91868254,1
172.217.12.142-10.42.0.211-443-34955-6,28.2,3,01-11-22 17:34,30,Male,Employee,1-2yr,Pick up upto 10Q, Outside rural areas,Y Shape,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,41.24912209,-73.07764377,0
172.217.11.40-10.42.0.211-443-50425-6,28,3.9,01-11-22 17:39,60,Male,Owner,1-3yr,Other, Outside rural areas,No junction,Collision with pedestrians,2,1,Moving Backward,Moving Backward,Serious Injury,No,No,41.54572111,-73.06711845,1
10.42.0.151-23.194.141.191-43062-443-6,25.5,3,01-11-22 17:44,45,Male,Employee,2-5yr,Automobile, Outside rural areas,No junction,Vehicle with vehicle collision,2,1,Other,Driving carelessly,Serious Injury,Yes,Yes,41.45463302,-72.80957681,0
10.42.0.211-72.21.206.135-42551-443-6,28,4.3,01-11-22 18:03,60,Male,Employee,5-10yr,Automobile, Outside rural areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,No,No,41.3875872,-72.87436888,1
10.42.0.211-52.84.134.65-39972-443-6,27.3,3.4,01-11-22 19:06,45,Male,Employee,2-5yr,Lorry (11?40Q),Office areas,No junction,Vehicle with vehicle collision,2,1,Reversing,Driving under the influence of drugs,Slight Injury,Yes,Yes,41.32718957,-72.92054672,0
10.42.0.211-23.21.51.186-47092-443-6,27.8,4.2,01-11-22 19:07,40,Male,Employee,Above 10yr,Bajaj, Outside rural areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,No priority to pedestrian,Slight Injury,No,No,41.45023379,-72.82373361,1
10.42.0.151-52.84.29.137-39493-443-6,26.4,3.8,01-11-22 19:20,30,Male,Employee,5-10yr,Automobile, Outside rural areas,Y Shape,Vehicle with vehicle collision,3,2,Other,No priority to vehicle,Slight Injury,Yes,Yes,41.53115312,-73.06494264,0
205.204.101.47-10.42.0.42-443-49657-6,27.4,4.1,01-11-22 19:23,40,Male,Employee,5-10yr,Lorry (41?100Q), Outside rural areas,Y Shape,Vehicle with vehicle collision,3,2,Other,Driving carelessly,Slight Injury,Yes,Yes,41.3246708,-72.91212373,0
10.42.0.211-10.42.0.1-16146-53-17,28,3.5,01-11-22 19:27,40,Male,Employee,1-2yr,Lorry (11?40Q),Office areas,No junction,Collision with roadside objects,1,1,Other,Moving Backward,Serious Injury,Yes,Yes,41.53237522,-72.67581659,0
203.205.179.170-10.42.0.211-80-35999-6,27,2.9,01-11-22 19:34,60,Male,Employee,Above 10yr,Lorry (11?40Q),  Recreational areas,No junction,Collision with pedestrians,1,1,Stopping,Driving carelessly,Serious Injury,Yes,Yes,41.22662449,-73.01301666,0
10.42.0.1-10.42.0.42-53-23234-17,27.6,3.1,01-11-22 19:37,70,Male,Employee,5-10yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Other,No priority to vehicle,Slight Injury,Yes,Yes,41.60662259,-72.69615033,0
10.42.0.211-104.192.110.245-38730-443-6,26.1,1.5,01-11-22 19:48,75,Male,Employee,2-5yr,Car,Other,Y Shape,Vehicle with vehicle collision,2,1,Other,Changing lane to the right,Slight Injury,No,No,41.36890324,-72.93195545,1
10.42.0.42-66.231.239.124-47794-443-6,28,1.3,01-11-22 19:51,45,Male,Employee,2-5yr,Automobile,Residential areas,No junction,Collision with roadside objects,1,1,Other,Changing lane to the left,Slight Injury,No,No,41.55172463,-73.03800938,1
10.42.0.151-10.42.0.1-51302-53-17,27.5,4,01-11-22 19:55,60,Male,Employee,5-10yr,Public (13?45 seats),Residential areas,No junction,Vehicle with vehicle collision,1,2,Going straight,No priority to vehicle,Fatal injury,Yes,Yes,41.36685358,-72.93157023,0
173.194.207.102-10.42.0.42-443-54050-6,24,4.8,01-11-22 20:02,25,Male,Employee,1-2yr,Public (12 seats),Residential areas,No junction,Vehicle with vehicle collision,1,2,Going straight,Driving carelessly,Fatal injury,Yes,Yes,41.30439389,-72.7554416,0
172.217.8.3-10.42.0.151-443-36126-6,26,6.3,01-11-22 20:16,25,Male,Employee,5-10yr,Other,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,41.49259274,-73.05508336,0
10.42.0.42-103.235.46.212-52942-443-6,27,3.3,01-11-22 21:01,40,Male,Employee,5-10yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,41.29164381,-72.37811645,1
198.11.189.16-10.42.0.151-443-52169-6,21,3.1,01-11-22 21:31,45,Male,Employee,5-10yr,Automobile,Other,No junction,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the left,Serious Injury,No,No,41.53868295,-72.80807815,1
10.42.0.211-23.208.26.242-42403-443-6,24,3.6,01-11-22 21:52,40,Male,Employee,Above 10yr,Public (13?45 seats),Other,Other,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the left,Serious Injury,No,No,41.29802527,-72.93133714,1
10.42.0.211-106.39.162.36-50138-80-6,24.1,3.7,02-11-22 8:31,45,Male,Employee,2-5yr,Public (13?45 seats),Office areas,Crossing,Vehicle with vehicle collision,2,3,Going straight,No distancing,Slight Injury,No,No,41.55368974,-73.03577874,1
172.217.12.202-10.42.0.211-443-44680-6,26,3.4,02-11-22 8:57,60,Male,Employee,5-10yr,Automobile, Church areas,Crossing,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the left,Slight Injury,No,No,41.32746266,-73.08914193,1
10.42.0.151-63.250.200.101-51736-443-6,28.4,1.8,02-11-22 9:01,40,Male,Owner,1-3yr,Other,Other,Crossing,Collision with roadside objects,2,3,Going straight,Driving carelessly,Slight Injury,Yes,Yes,41.34611312,-72.90276088,0
10.42.0.211-52.22.169.132-52479-443-6,32,1.5,02-11-22 9:05,40,Male,Employee,5-10yr,Pick up upto 10Q,Other,Crossing,Collision with roadside objects,2,3,Going straight,Changing lane to the left,Slight Injury,No,No,41.33208246,-72.91368852,1
10.42.0.211-10.42.0.1-18969-53-17,20,2.7,02-11-22 9:07,35,Male,Employee,1-3yr,Lorry (41?100Q),Office areas,Unknown,Collision with roadside objects,3,1,Going straight,No distancing,Slight Injury,Yes,Yes,41.50049342,-72.89901472,0
10.42.0.1-10.42.0.42-53-39818-17,31,3.7,02-11-22 9:14,45,Male,Employee,1-3yr,Automobile,Office areas,Unknown,Vehicle with vehicle collision,3,1,Reversing,Changing lane to the right,Slight Injury,Yes,Yes,41.31846979,-72.35949013,0
10.42.0.42-104.97.95.172-59470-80-6,23,3.7,02-11-22 9:18,60,Male,Employee,1-2yr,Automobile,Office areas,Unknown,Collision with pedestrians,3,1,Going straight,No distancing,Slight Injury,Yes,Yes,41.50838095,-72.68755739,0
10.42.0.211-123.125.115.164-52186-443-6,23,2.9,02-11-22 9:19,30,Male,Owner,5-10yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Other,Driving to the left,Slight Injury,No,No,41.52692555,-73.12331152,1
180.163.15.184-10.42.0.211-80-54231-6,32,3.1,02-11-22 9:29,40,Male,Employee,2-5yr,Car,,Y Shape,Collision with pedestrians,2,1,,No distancing,Slight Injury,Yes,Yes,41.35164069,-72.9139195,0
10.42.0.211-23.217.155.120-55441-80-6,25,3.3,02-11-22 9:32,50,Male,Owner,5-10yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Getting off,Overtaking,Serious Injury,No,No,41.53263308,-72.6206306,1
10.42.0.151-10.42.0.1-55991-53-17,25,3.4,02-11-22 9:39,50,Male,Employee,2-5yr,Automobile,Other,Y Shape,Collision with pedestrians,2,1,Going straight,Driving under the influence of drugs,Serious Injury,Yes,Yes,30.08533768,-94.10451563,0
151.101.117.140-10.42.0.211-443-45534-6,25,3.5,02-11-22 9:45,60,Male,Employee,Above 10yr,Automobile,Other,No junction,Vehicle with vehicle collision,4,2,Going straight,No priority to pedestrian,Slight Injury,No,No,32.642427,-97.445036,1
205.185.216.10-10.42.0.211-80-58723-6,25,3,02-11-22 9:46,25,Male,Employee,Below 1yr,Automobile,Other,No junction,Vehicle with vehicle collision,4,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,33.55861,-101.8441281,0
172.217.6.193-10.42.0.151-443-36557-6,25,4.7,02-11-22 9:57,30,Male,Employee,Below 1yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,4,2,Going straight,Changing lane to the right,Slight Injury,No,No,32.793311,-96.722907,1
216.58.219.227-10.42.0.151-443-57675-6,25,2.9,02-11-22 9:59,60,Female,Owner,1-3yr,Lorry (41?100Q),Office areas,No junction,Vehicle with vehicle collision,4,2,Turnover,Changing lane to the left,Slight Injury,No,No,41.61584935,-72.08832446,1
10.42.0.211-10.42.0.1-16816-53-17,25,1.8,02-11-22 10:04,55,Male,Employee,2-5yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,1,1,Entering a junction,Changing lane to the right,Slight Injury,Yes,Yes,41.30386048,-72.90269024,0
10.42.0.42-104.192.110.245-36031-443-6,25,3.9,02-11-22 10:11,40,Male,Owner,1-3yr,Pick up upto 10Q,Office areas,Other,Vehicle with vehicle collision,2,1,Entering a junction,Driving under the influence of drugs,Slight Injury,No,No,41.31761913,-72.97311828,1
174.35.73.110-10.42.0.42-80-55728-6,29,4.3,02-11-22 10:16,45,Male,Employee,No Licence,Stationwagen, Church areas,Other,Vehicle with vehicle collision,2,1,Entering a junction,No priority to vehicle,Slight Injury,Yes,Yes,41.52975922,-72.10292744,0
208.80.154.224-10.42.0.211-443-55761-6,25,2.7,02-11-22 10:20,20,Male,Employee,Above 10yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Entering a junction,No priority to vehicle,Slight Injury,Yes,Yes,41.42814214,-71.84378208,0
172.217.6.206-10.42.0.151-443-55346-6,25,1.7,02-11-22 10:21,55,Male,Owner,Above 10yr,Pick up upto 10Q,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Other,Changing lane to the left,Slight Injury,No,No,41.28789549,-72.96088163,1
10.42.0.211-77.234.42.92-46244-443-6,25,4.1,02-11-22 10:30,50,Male,Employee,Above 10yr,Stationwagen,School areas,Y Shape,Vehicle with vehicle collision,2,2,Entering a junction,Changing lane to the right,Slight Injury,No,No,41.25367559,-72.97370107,1
10.42.0.42-62.138.0.117-58346-80-6,25.1,6.4,02-11-22 10:32,40,Male,Employee,Above 10yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,2,Turnover,Changing lane to the right,Slight Injury,Yes,Yes,41.36634214,-71.89463378,0
192.229.173.173-10.42.0.211-443-50767-6,25,3.8,02-11-22 10:38,40,Male,Owner,5-10yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,2,Entering a junction,Changing lane to the left,Slight Injury,No,No,41.56755503,-72.05495051,1
10.42.0.211-119.146.74.34-59411-80-6,26,3,02-11-22 10:43,50,Male,Employee,Below 1yr,Car,Other,No junction,Rollover,1,1,Entering a junction,Changing lane to the left,Slight Injury,Yes,Yes,41.32727242,-72.10170418,0
10.42.0.42-111.206.25.159-53837-80-6,25,3,02-11-22 10:46,25,Male,Employee,2-5yr,Automobile,Other,Y Shape,Collision with roadside objects,2,1,Entering a junction,Getting off the vehicle improperly,Serious Injury,No,No,41.46949447,-72.09932262,1
198.11.189.2-10.42.0.42-443-43206-6,25,2.1,02-11-22 10:51,25,Male,Employee,1-3yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,1,Entering a junction,Overtaking,Serious Injury,Yes,Yes,41.6157585,-72.08924129,0
192.229.173.173-10.42.0.151-80-46804-6,25,1.9,02-11-22 10:55,40,Male,Employee,1-2yr,Turbo,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Entering a junction,Changing lane to the left,Slight Injury,No,No,41.34449102,-72.10631061,1
10.42.0.211-103.235.46.212-39059-443-6,25,2.5,02-11-22 11:01,35,Unknown,Employee,1-2yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Other,Driving under the influence of drugs,Slight Injury,Yes,Yes,41.2742998,-72.94578742,0
10.42.0.211-52.7.207.217-47408-80-6,25,2,02-11-22 11:02,35,Female,Employee,1-2yr,Stationwagen,Office areas,Crossing,Collision with pedestrians,1,1,Going straight,Driving carelessly,Serious Injury,Yes,Yes,41.22634375,-73.04778157,0
10.42.0.211-52.84.34.77-39713-443-6,25,3.1,02-11-22 11:11,35,Male,Employee,5-10yr,Automobile,Office areas,No junction,Collision with pedestrians,1,1,Going straight,Moving Backward,Serious Injury,Yes,Yes,41.38043115,-71.83719939,0
172.217.6.206-10.42.0.151-443-44044-6,26,3.4,02-11-22 11:19,25,Male,Employee,Above 10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Other,No distancing,Slight Injury,Yes,Yes,41.53148445,-72.07743256,0
10.42.0.1-10.42.0.42-53-24809-17,25,1.8,02-11-22 11:22,40,Male,Employee,Above 10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,41.35789277,-72.9093985,0
10.42.0.211-52.84.29.134-60639-443-6,25,2.5,02-11-22 11:28,30,Male,Employee,5-10yr,Pick up upto 10Q,Office areas,No junction,Collision with pedestrians,2,1,Going straight,Overturning,Slight Injury,No,No,41.34601116,-72.04715291,1
10.42.0.1-10.42.0.42-53-57047-17,29,1.9,02-11-22 11:31,25,Male,Employee,2-5yr,Lorry (41?100Q),Other,No junction,Collision with pedestrians,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,41.32513532,-72.6353568,1
10.42.0.42-66.228.48.38-47701-123-17,25,2.4,02-11-22 11:36,45,Male,Employee,Below 1yr,Lorry (41?100Q),Other,No junction,Collision with pedestrians,1,4,Going straight,No distancing,Serious Injury,Yes,Yes,41.28871412,-73.0532625,0
10.42.0.211-69.147.82.61-53361-443-6,25,2.3,02-11-22 11:49,40,Male,Employee,1-2yr,Automobile,Residential areas,No junction,Vehicle with vehicle collision,1,4,Going straight,Moving Backward,Serious Injury,Yes,Yes,41.37630371,-72.1035658,0
10.42.0.211-104.97.95.172-40883-80-6,25.1,2.1,02-11-22 11:54,50,Male,Employee,5-10yr,Lorry (41?100Q),Other,No junction,Collision with roadside objects,1,4,Reversing,No priority to vehicle,Serious Injury,Yes,Yes,29.673552,-95.33299026,0
172.217.12.193-10.42.0.151-443-41738-6,25,6,02-11-22 12:05,35,Male,Employee,Below 1yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,1,4,Moving Backward,No priority to vehicle,Serious Injury,No,No,29.26488326,-94.83879029,1
10.42.0.151-10.42.0.1-56166-53-17,25,3.8,02-11-22 12:12,60,Female,Employee,5-10yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,2,1,Overtaking,No distancing,Slight Injury,No,No,40.60380428,-112.2732083,1
10.42.0.211-104.192.110.245-34115-443-6,25,3.1,02-11-22 12:19,45,Male,Employee,2-5yr,Lorry (41?100Q),Other,Y Shape,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,40.29177135,-111.6865115,1
203.205.191.25-10.42.0.151-80-54162-6,25,2.1,02-11-22 12:29,40,Male,Employee,5-10yr,Automobile, Industrial areas,Other,Vehicle with vehicle collision,1,1,Going straight,Overtaking,Slight Injury,No,No,40.63835289,-111.9705881,1
172.217.10.142-10.42.0.42-443-33885-17,25,3.8,02-11-22 12:38,40,Unknown,Employee,5-10yr,Automobile, Industrial areas,No junction,Vehicle with vehicle collision,1,1,Going straight,Driving under the influence of drugs,Slight Injury,No,No,40.70858505,-111.8304531,1
173.241.242.143-10.42.0.42-443-45190-6,25,2.8,02-11-22 12:45,40,Male,Employee,Above 10yr,Automobile, Church areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,41.18312576,-111.9505097,0
10.42.0.151-10.42.0.1-37203-53-17,25,2,02-11-22 12:50,40,Male,Employee,1-2yr,Public (13?45 seats),Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,37.86944369,-109.3421159,1
174.35.73.97-10.42.0.211-80-54424-6,25,2.3,02-11-22 13:00,55,Male,Employee,Below 1yr,Automobile,Other,No junction,Collision with pedestrians,1,1,Going straight,Driving carelessly,Serious Injury,Yes,Yes,40.16751022,-111.6358177,0
